postalCode,bus_stop_count
00083,58
10001,63
10002,84
10003,57
10004,30
10005,9
10006,20
10007,51
10009,61
10010,82
10011,63
10012,30
10013,38
10014,44
10016,65
10017,51
10018,26
10019,95
10020,7
10021,35
10022,85
10023,73
10024,74
10025,92
10026,44
10027,122
10028,32
10029,68
10030,41
10031,91
10032,99
10033,74
10034,24
10035,87
10036,58
10037,20
10038,31
10039,32
10040,34
10048,2
10065,43
10069,4
10075,25
10110,2
10111,2
10115,1
10128,30
10275,1
10280,8
10281,5
10282,6
10301,210
10302,101
10303,104
10304,120
10305,183
10306,216
10307,41
10308,58
10309,134
10310,136
10312,169
10314,320
10451,94
10452,68
10453,79
10454,49
10455,57
10456,84
10457,101
10458,91
10459,93
10460,91
10461,117
10462,95
10463,91
10464,29
10465,135
10466,85
10467,108
10468,90
10469,116
10470,26
10471,38
10472,71
10473,88
10474,35
10475,69
11001,14
11004,34
11040,10
11101,35
11102,1
11103,4
11104,12
11105,3
11201,125
11203,136
11204,74
11205,79
11206,131
11207,182
11208,151
11209,163
11210,107
11211,147
11212,148
11213,92
11214,141
11215,86
11216,93
11217,60
11218,81
11219,73
11220,88
11221,122
11222,74
11223,99
11224,94
11225,65
11226,93
11228,84
11229,126
11230,91
11231,52
11232,48
11233,142
11234,198
11235,135
11236,176
11237,61
11238,113
11239,21
11251,5
11354,103
11355,102
11356,33
11357,114
11358,125
11359,2
11360,51
11361,77
11362,47
11363,15
11364,91
11365,77
11366,35
11367,47
11368,46
11369,21
11370,8
11371,18
11372,15
11373,41
11374,9
11375,22
11377,32
11378,64
11379,28
11385,203
11411,67
11412,109
11413,67
11414,2
11415,13
11416,16
11418,66
11419,11
11421,36
11422,59
11423,59
11426,65
11427,59
11428,40
11429,71
11430,29
11432,102
11433,93
11434,89
11435,59
11436,1
