zip_code,total_population,male_population,female_population,age_under_18,age_18_to_44,age_45_plus,race_white,race_native_american,race_asian
06390,53.0,37.0,16.0,8.0,24.0,21.0,31.0,0.0,0.0
10001,29079.0,14069.0,15010.0,4010.6000000000004,15181.4,6331.0,15893.0,32.0,5228.0
10002,75517.0,38110.0,37407.0,10757.2,28954.8,18537.0,23597.0,262.0,27700.0
10003,53825.0,26407.0,27418.0,9148.8,27316.2,9077.0,36193.0,68.0,9639.0
10004,3875.0,2118.0,1757.0,793.8,2117.2,787.0,2460.0,0.0,923.0
10005,9238.0,4637.0,4601.0,887.8,6336.2,1653.0,6254.0,0.0,1311.0
10006,4475.0,1974.0,2501.0,740.8,3019.2,572.0,2932.0,0.0,1058.0
10007,7802.0,3698.0,4104.0,1517.4,4004.6,1675.0,5593.0,0.0,1179.0
10009,58341.0,29225.0,29116.0,6206.0,27782.0,14753.0,32293.0,185.0,7533.0
10010,31905.0,14867.0,17038.0,5184.2,14609.8,6691.0,20884.0,112.0,4517.0
10011,49344.0,24816.0,24528.0,5272.8,20693.2,13973.0,35340.0,60.0,5118.0
10012,21846.0,10437.0,11409.0,2021.0,11680.0,5015.0,15076.0,66.0,3780.0
10013,28215.0,13379.0,14836.0,4192.2,12380.8,6689.0,15873.0,14.0,8621.0
10014,29772.0,14615.0,15157.0,2351.8,14678.2,7391.0,24317.0,58.0,1516.0
10016,54297.0,26499.0,27798.0,5126.0,30898.0,10485.0,33663.0,65.0,10830.0
10017,14985.0,6914.0,8071.0,637.2,7785.8,2970.0,10102.0,28.0,2736.0
10018,8764.0,4366.0,4398.0,784.2,5370.8,1751.0,3871.0,189.0,2402.0
10019,44276.0,24172.0,20104.0,2801.8,21921.2,10327.0,26883.0,239.0,8151.0
10020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10021,39479.0,17241.0,22238.0,6177.6,14613.4,9018.0,32620.0,0.0,3888.0
10022,34340.0,15862.0,18478.0,4125.4,12570.6,7786.0,26374.0,27.0,4026.0
10023,67468.0,30977.0,36491.0,11079.6,23829.4,18199.0,45595.0,99.0,10948.0
10024,62576.0,29396.0,33180.0,10550.2,20862.8,17540.0,50685.0,51.0,2973.0
10025,93223.0,43590.0,49633.0,13863.6,37390.4,21311.0,53927.0,111.0,9406.0
10026,37113.0,17603.0,19510.0,7086.2,16315.8,9786.0,9819.0,29.0,2369.0
10027,65068.0,31553.0,33515.0,14587.0,29343.0,13868.0,19634.0,375.0,6669.0
10028,45679.0,20442.0,25237.0,6526.2,17539.8,10996.0,38602.0,9.0,3177.0
10029,74848.0,32614.0,42234.0,14962.0,29520.0,17744.0,15835.0,411.0,8940.0
10030,30781.0,14515.0,16266.0,6070.6,12506.4,8115.0,4659.0,107.0,1521.0
10031,60305.0,29794.0,30511.0,9445.0,28164.0,14553.0,12743.0,351.0,2621.0
10032,55579.0,26596.0,28983.0,7800.2,24562.8,13002.0,12018.0,268.0,2789.0
10033,53611.0,26985.0,26626.0,9300.6,23427.4,13349.0,17974.0,1162.0,1817.0
10034,39037.0,18540.0,20497.0,7379.6,15694.4,10228.0,10488.0,885.0,1265.0
10035,39082.0,19785.0,19297.0,8234.2,16053.8,9452.0,7992.0,664.0,2260.0
10036,30589.0,17339.0,13250.0,2217.8,15567.2,7902.0,17012.0,29.0,4670.0
10037,18333.0,7782.0,10551.0,2930.8,7023.2,4756.0,2574.0,77.0,775.0
10038,23342.0,10304.0,13038.0,4165.4,11156.6,4134.0,10416.0,43.0,6875.0
10039,30512.0,14329.0,16183.0,6759.4,11088.6,9141.0,3183.0,143.0,446.0
10040,41581.0,19832.0,21749.0,6845.6,15863.4,10964.0,11008.0,514.0,731.0
10044,11998.0,5561.0,6437.0,2348.6,5024.4,2432.0,5063.0,0.0,3538.0
10065,31047.0,13696.0,17351.0,5062.2,12060.8,6991.0,23642.0,0.0,4055.0
10069,6669.0,3727.0,2942.0,1634.8,2612.2,1894.0,3036.0,0.0,1947.0
10075,23865.0,9997.0,13868.0,3426.0,8798.0,5909.0,19737.0,0.0,2276.0
10103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10128,59000.0,26196.0,32804.0,8297.0,22830.0,14580.0,41579.0,106.0,6166.0
10152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10162,1769.0,884.0,885.0,393.2,338.8,259.0,1577.0,0.0,51.0
10165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10279,181.0,65.0,116.0,52.0,57.0,72.0,100.0,0.0,0.0
10280,8668.0,4186.0,4482.0,1017.4000000000001,3728.6,3178.0,5333.0,200.0,2463.0
10282,5960.0,3257.0,2703.0,1541.2,2288.8,1524.0,4207.0,0.0,903.0
10301,39799.0,19331.0,20468.0,9119.6,14603.4,9858.0,17504.0,318.0,3050.0
10302,19693.0,10444.0,9249.0,5096.8,7300.2,5281.0,6572.0,319.0,1180.0
10303,25993.0,12137.0,13856.0,6717.0,8970.0,7067.0,6824.0,84.0,2607.0
10304,45843.0,22019.0,23824.0,10431.2,15807.8,12802.0,19743.0,530.0,6090.0
10305,41714.0,20586.0,21128.0,7965.6,13365.4,12057.0,26964.0,248.0,8626.0
10306,57249.0,28292.0,28957.0,12764.8,18146.2,15669.0,39494.0,85.0,8985.0
10307,14821.0,7770.0,7051.0,3486.6,4706.4,4327.0,12665.0,0.0,693.0
10308,29996.0,14354.0,15642.0,6171.6,9569.4,9264.0,24886.0,59.0,2256.0
10309,34918.0,17200.0,17718.0,7891.2,10757.8,10298.0,30698.0,33.0,1390.0
10310,25824.0,12438.0,13386.0,6887.8,8703.2,6850.0,12927.0,220.0,1338.0
10311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10312,63345.0,30956.0,32389.0,15106.6,20401.4,16959.0,50048.0,33.0,5989.0
10314,93539.0,45695.0,47844.0,20559.2,30634.8,24235.0,61357.0,659.0,17404.0
10451,48975.0,22034.0,26941.0,11934.4,19150.6,10880.0,6413.0,273.0,557.0
10452,76745.0,36593.0,40152.0,22506.8,27847.2,17933.0,8949.0,763.0,705.0
10453,78270.0,35367.0,42903.0,21028.2,28693.8,20649.0,8812.0,1306.0,998.0
10454,40368.0,18645.0,21723.0,11047.4,15453.6,9216.0,4879.0,1044.0,243.0
10455,42940.0,20148.0,22792.0,12376.8,16120.2,9344.0,3655.0,542.0,654.0
10456,86958.0,40179.0,46779.0,24991.4,31485.6,20164.0,8911.0,1211.0,723.0
10457,79375.0,36705.0,42670.0,23115.4,30993.6,17709.0,7143.0,904.0,573.0
10458,78741.0,37447.0,41294.0,22225.6,31645.4,16615.0,8937.0,1371.0,3022.0
10459,49753.0,23625.0,26128.0,14606.2,17329.8,12085.0,3912.0,491.0,558.0
10460,61101.0,29444.0,31657.0,16734.4,22682.6,14735.0,6553.0,685.0,610.0
10461,50900.0,24129.0,26771.0,11418.6,18365.4,13324.0,20438.0,480.0,6956.0
10462,75452.0,36926.0,38526.0,18526.4,28941.6,18042.0,11771.0,868.0,13732.0
10463,69373.0,31426.0,37947.0,15615.4,21464.6,17876.0,26634.0,1119.0,2788.0
10464,4273.0,2083.0,2190.0,610.8,746.2,1280.0,2849.0,0.0,91.0
10465,46457.0,23200.0,23257.0,11369.8,15905.2,11600.0,20938.0,298.0,2676.0
10466,74061.0,33480.0,40581.0,19160.8,25033.2,18670.0,4418.0,745.0,1477.0
10467,96304.0,45818.0,50486.0,23916.0,35006.0,24955.0,15203.0,1338.0,6267.0
10468,79825.0,39027.0,40798.0,21287.4,30329.6,19046.0,8601.0,1220.0,1852.0
10469,69855.0,32529.0,37326.0,16335.8,22781.2,18099.0,8760.0,453.0,4407.0
10470,15558.0,7499.0,8059.0,2564.8,5928.2,3894.0,6499.0,187.0,410.0
10471,23400.0,11056.0,12344.0,4945.2,6401.8,5541.0,13377.0,192.0,1069.0
10472,63820.0,31689.0,32131.0,18082.0,24077.0,13563.0,4455.0,776.0,5164.0
10473,59778.0,27527.0,32251.0,13661.4,19853.6,15312.0,7831.0,412.0,1454.0
10474,11188.0,5582.0,5606.0,3177.8,4904.2,2002.0,741.0,118.0,46.0
10475,42771.0,19601.0,23170.0,8201.6,13497.4,10695.0,3460.0,306.0,796.0
10501,1426.0,618.0,808.0,275.0,341.0,638.0,1405.0,0.0,0.0
10502,5875.0,2971.0,2904.0,1643.2,1539.8,1512.0,3896.0,0.0,763.0
10503,127.0,61.0,66.0,0.0,0.0,53.0,127.0,0.0,0.0
10504,7853.0,4142.0,3711.0,2140.8,1973.2,2384.0,6016.0,0.0,595.0
10505,1295.0,609.0,686.0,225.6,442.4,365.0,988.0,0.0,119.0
10506,6246.0,3108.0,3138.0,1705.4,1610.6,1943.0,5396.0,0.0,153.0
10507,6044.0,2643.0,3401.0,1326.6,2134.4,1555.0,3368.0,4.0,867.0
10509,20055.0,10322.0,9733.0,4135.2,6307.8,5785.0,13941.0,13.0,678.0
10510,10027.0,5199.0,4828.0,2074.8,2350.2,3246.0,7859.0,0.0,763.0
10511,2296.0,1121.0,1175.0,518.0,752.0,602.0,1413.0,5.0,134.0
10512,24238.0,11836.0,12402.0,4898.2,7607.8,6762.0,18437.0,81.0,438.0
10514,12227.0,6134.0,6093.0,3720.8,2984.2,3717.0,8784.0,0.0,1549.0
10516,5607.0,2799.0,2808.0,1224.6,1478.4,1724.0,5022.0,0.0,56.0
10517,551.0,228.0,323.0,87.2,177.8,117.0,349.0,0.0,35.0
10518,789.0,401.0,388.0,77.6,87.4,427.0,738.0,0.0,32.0
10519,188.0,128.0,60.0,72.80000000000001,55.2,60.0,60.0,0.0,128.0
10520,12208.0,6024.0,6184.0,2487.8,2944.2,3862.0,9935.0,3.0,385.0
10522,11464.0,5928.0,5536.0,2928.0,3470.0,3126.0,8182.0,10.0,1201.0
10523,9773.0,4521.0,5252.0,2397.2,4163.8,2239.0,3445.0,92.0,1048.0
10524,4298.0,2102.0,2196.0,771.2,1078.8,1401.0,3720.0,0.0,44.0
10526,2040.0,893.0,1147.0,527.4,568.6,633.0,1625.0,0.0,196.0
10527,587.0,308.0,279.0,159.2,131.8,210.0,461.0,0.0,0.0
10528,13822.0,6463.0,7359.0,3726.6,4181.4,3846.0,10260.0,0.0,1392.0
10530,13955.0,6621.0,7334.0,2117.2,3794.8,4101.0,9687.0,2.0,1439.0
10532,5253.0,2674.0,2579.0,1016.4,1643.6,1518.0,4535.0,0.0,204.0
10533,7337.0,3691.0,3646.0,2201.0,1609.0,2293.0,5706.0,0.0,627.0
10535,323.0,142.0,181.0,48.0,42.0,159.0,146.0,0.0,0.0
10536,11010.0,5296.0,5714.0,2906.4,2754.6,3323.0,9159.0,32.0,388.0
10537,2418.0,1263.0,1155.0,466.4,1006.6,701.0,1980.0,0.0,57.0
10538,17709.0,8657.0,9052.0,4798.8,5092.2,5458.0,14078.0,16.0,656.0
10540,114.0,112.0,2.0,90.2,12.8,0.0,22.0,0.0,0.0
10541,26137.0,13227.0,12910.0,5799.8,7845.2,8298.0,20626.0,20.0,682.0
10542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10543,21022.0,10699.0,10323.0,5091.8,7189.2,5406.0,13445.0,287.0,1075.0
10545,182.0,182.0,0.0,0.0,19.0,75.0,120.0,0.0,9.0
10546,1229.0,490.0,739.0,243.4,303.6,496.0,913.0,0.0,206.0
10547,7361.0,3385.0,3976.0,1593.0,2368.0,2269.0,4583.0,8.0,193.0
10548,4302.0,1995.0,2307.0,827.2,1508.8,1173.0,3212.0,0.0,14.0
10549,15858.0,8302.0,7556.0,4000.4,4682.6,4437.0,10715.0,0.0,440.0
10550,40072.0,18082.0,21990.0,8840.6,13849.4,10727.0,2997.0,392.0,475.0
10552,21499.0,9198.0,12301.0,3616.8,6653.2,6429.0,7216.0,79.0,1031.0
10553,10815.0,4930.0,5885.0,2205.8,4005.2,3046.0,1403.0,0.0,77.0
10560,4914.0,2564.0,2350.0,1105.6,1449.4,1401.0,4188.0,0.0,119.0
10562,33700.0,16636.0,17064.0,6727.4,10886.6,9888.0,18336.0,127.0,1382.0
10566,25484.0,12630.0,12854.0,4443.0,9398.0,7795.0,10050.0,602.0,511.0
10567,20260.0,10059.0,10201.0,4680.2,6019.8,6000.0,13603.0,0.0,726.0
10570,13391.0,6563.0,6828.0,3618.2,3866.8,3878.0,10818.0,0.0,445.0
10573,40982.0,21615.0,19367.0,9111.6,14212.4,11661.0,19539.0,390.0,1875.0
10576,4904.0,2432.0,2472.0,853.2,1224.8,1477.0,4521.0,0.0,117.0
10577,5901.0,2534.0,3367.0,1715.4,2736.6,897.0,4033.0,24.0,387.0
10578,1851.0,1209.0,642.0,560.8,692.2,442.0,551.0,0.0,306.0
10579,8825.0,4678.0,4147.0,1851.8000000000002,2255.2,2916.0,7109.0,51.0,236.0
10580,18073.0,9215.0,8858.0,5481.6,4647.4,5399.0,14345.0,28.0,1271.0
10583,40612.0,20146.0,20466.0,11452.4,10250.6,11896.0,26503.0,25.0,8272.0
10588,3081.0,1364.0,1717.0,735.6,1072.4,791.0,2665.0,0.0,225.0
10589,7266.0,3044.0,4222.0,1090.4,1198.6,1709.0,6660.0,29.0,285.0
10590,7314.0,3774.0,3540.0,1675.8,1683.2,2488.0,6279.0,0.0,290.0
10591,23663.0,11786.0,11877.0,4694.2,7574.8,6485.0,13441.0,90.0,1615.0
10594,5512.0,2761.0,2751.0,1375.8,1545.2,1515.0,4666.0,0.0,212.0
10595,7180.0,3659.0,3521.0,1219.2,2643.8,1596.0,5006.0,29.0,612.0
10596,657.0,318.0,339.0,63.0,123.0,244.0,442.0,0.0,1.0
10597,652.0,356.0,296.0,220.8,184.2,149.0,449.0,0.0,0.0
10598,28894.0,14278.0,14616.0,6495.2,7820.8,8947.0,22571.0,16.0,1055.0
10601,10860.0,4872.0,5988.0,1534.2,4118.8,2791.0,4983.0,139.0,1272.0
10603,19201.0,9571.0,9630.0,4017.2,7178.8,4916.0,7518.0,33.0,976.0
10604,12192.0,5638.0,6554.0,3382.0,4233.0,2886.0,7980.0,250.0,399.0
10605,19371.0,9463.0,9908.0,3339.6,5914.4,5350.0,13032.0,0.0,1607.0
10606,17556.0,8591.0,8965.0,4437.4,6565.6,4073.0,6119.0,0.0,1633.0
