zip_code,pop_25_over,pct_bachelors_plus_25_over,count_bachelors_plus_25_over,pop_18_24,pct_bachelor_and_over_18_24,count_bachelors_plus_18_24
06390,38.0,39.5,15,7.0,100.0,7
10001,22724.0,71.5,16248,3033.0,33.5,1016
10002,59418.0,39.0,23173,5978.0,30.8,1841
10003,36544.0,82.2,30039,13489.0,24.2,3264
10004,3010.0,90.9,2736,89.0,33.7,30
10005,7325.0,84.3,6175,1070.0,50.7,542
10006,3465.0,84.9,2942,709.0,10.0,71
10007,5618.0,86.4,4854,634.0,62.3,395
10009,47633.0,62.6,29818,4659.0,58.4,2721
10010,23770.0,80.5,19135,4069.0,25.7,1046
10011,41026.0,79.2,32493,3847.0,36.8,1416
10012,17230.0,83.3,14353,2677.0,67.5,1807
10013,21815.0,72.0,15707,2611.0,22.4,585
10014,25727.0,84.9,21842,1787.0,65.5,1170
10016,43154.0,81.7,35257,6398.0,68.6,4389
10017,13266.0,85.3,11316,1118.0,75.2,841
10018,7458.0,75.2,5608,617.0,48.6,300
10019,39679.0,77.5,30751,1881.0,72.3,1360
10020,0.0,,,0.0,,
10021,31592.0,80.6,25463,1750.0,66.1,1157
10022,29095.0,83.6,24323,1300.0,60.1,781
10023,53645.0,84.3,45223,3853.0,25.8,994
10024,50060.0,84.2,42151,2053.0,44.3,909
10025,70984.0,68.8,48837,9447.0,36.9,3486
10026,27341.0,53.5,14627,2765.0,22.2,614
10027,42572.0,51.8,22052,10868.0,21.6,2347
10028,37523.0,83.2,31219,1883.0,43.5,819
10029,54112.0,35.7,19318,6643.0,21.6,1435
10030,22234.0,34.9,7760,2570.0,20.8,535
10031,47341.0,40.8,19315,3820.0,33.9,1295
10032,42647.0,39.8,16974,5593.0,26.6,1488
10033,39698.0,41.3,16395,4976.0,22.1,1100
10034,29329.0,39.2,11497,2370.0,19.6,465
10035,27782.0,30.7,8529,3187.0,23.3,743
10036,25778.0,69.3,17864,2692.0,60.9,1639
10037,14375.0,43.2,6210,1035.0,23.6,244
10038,16805.0,61.6,10352,3210.0,34.5,1107
10039,21944.0,27.2,5969,2056.0,20.4,419
10040,32180.0,38.3,12325,2835.0,22.3,632
10044,9119.0,72.0,6566,604.0,29.0,175
10065,24999.0,85.9,21474,973.0,55.0,535
10069,4958.0,91.0,4512,60.0,75.0,45
10075,18743.0,84.8,15894,1740.0,34.7,604
10103,0.0,,,0.0,,
10110,0.0,,,0.0,,
10111,0.0,,,0.0,,
10112,0.0,,,0.0,,
10115,0.0,,,0.0,,
10119,0.0,,,0.0,,
10128,47586.0,77.5,36879,3461.0,53.8,1862
10152,0.0,,,0.0,,
10153,0.0,,,0.0,,
10154,0.0,,,0.0,,
10162,1349.0,64.5,870,35.0,51.4,18
10165,0.0,,,0.0,,
10167,0.0,,,0.0,,
10168,0.0,,,0.0,,
10169,0.0,,,0.0,,
10170,0.0,,,0.0,,
10171,0.0,,,0.0,,
10172,0.0,,,0.0,,
10173,0.0,,,0.0,,
10174,0.0,,,0.0,,
10177,0.0,,,0.0,,
10199,0.0,,,0.0,,
10271,0.0,,,0.0,,
10278,0.0,,,0.0,,
10279,129.0,83.7,108,0.0,,
10280,7065.0,89.6,6330,565.0,51.2,289
10282,4258.0,82.0,3492,131.0,45.8,60
10301,27600.0,38.2,10543,3478.0,12.6,438
10302,12959.0,28.9,3745,1928.0,7.1,137
10303,17467.0,29.6,5170,2220.0,13.1,291
10304,31617.0,31.4,9928,4368.0,15.4,673
10305,31274.0,31.9,9976,2917.0,21.8,636
10306,40780.0,33.6,13702,4269.0,27.1,1157
10307,10140.0,39.5,4005,1228.0,44.8,550
10308,21765.0,40.4,8793,2256.0,26.1,589
10309,24801.0,39.9,9896,2353.0,29.4,692
10310,17295.0,30.8,5327,1916.0,19.4,372
10311,0.0,,,0.0,,
10312,43322.0,40.9,17719,5303.0,30.0,1591
10314,66392.0,37.3,24764,7743.0,27.7,2145
10451,33363.0,21.3,7106,4581.0,7.5,344
10452,48761.0,14.3,6973,6814.0,5.5,375
10453,50649.0,14.5,7344,7516.0,9.8,737
10454,25673.0,13.9,3569,4118.0,10.9,449
10455,27010.0,16.1,4349,4554.0,8.9,405
10456,54317.0,14.0,7604,8602.0,7.2,619
10457,49107.0,14.9,7317,7802.0,6.5,507
10458,47734.0,16.1,7685,11328.0,7.2,816
10459,30929.0,13.8,4268,4960.0,11.2,556
10460,39377.0,15.2,5985,5521.0,5.7,315
10461,36094.0,27.4,9890,3770.0,17.6,664
10462,51042.0,27.7,14139,6680.0,13.5,902
10463,49501.0,43.9,21731,4510.0,28.7,1294
10464,3581.0,45.8,1640,137.0,0.0,0
10465,31462.0,29.4,9250,4626.0,14.5,671
10466,49752.0,25.9,12886,6031.0,14.5,874
10467,65056.0,22.0,14312,8550.0,11.4,975
10468,52437.0,15.6,8180,6825.0,8.7,594
10469,47945.0,29.1,13952,6169.0,13.3,820
10470,12190.0,40.8,4974,931.0,28.5,265
10471,16740.0,58.5,9793,2409.0,10.3,248
10472,40000.0,13.6,5440,6620.0,8.8,583
10473,40712.0,23.8,9689,6083.0,10.8,657
10474,6842.0,15.0,1026,1234.0,22.5,278
10475,30825.0,27.6,8508,3902.0,19.2,749
10501,1027.0,77.0,791,142.0,47.9,68
10502,3930.0,77.2,3034,320.0,10.0,32
10503,127.0,93.7,119,0.0,,
10504,5339.0,81.1,4330,403.0,29.8,120
10505,901.0,64.4,580,156.0,57.7,90
10506,4069.0,86.0,3499,506.0,29.6,150
10507,4267.0,45.4,1937,525.0,36.4,191
10509,14876.0,43.4,6456,1192.0,27.9,333
10510,7286.0,74.2,5406,765.0,39.9,305
10511,1557.0,45.8,713,226.0,65.9,149
10512,17864.0,42.3,7556,1702.0,21.5,366
10514,7965.0,82.9,6603,617.0,18.2,112
10516,4095.0,61.7,2527,282.0,30.1,85
10517,377.0,33.2,125,95.0,26.3,25
10518,653.0,89.9,587,44.0,100.0,44
10519,107.0,43.9,47,0.0,,
10520,8929.0,63.0,5625,933.0,35.5,331
10522,7569.0,67.1,5079,1174.0,23.7,278
10523,6588.0,50.9,3353,901.0,41.0,369
10524,3245.0,52.6,1707,275.0,16.7,46
10526,1423.0,78.8,1121,138.0,17.4,24
10527,410.0,78.8,323,2.0,0.0,0
10528,9438.0,57.9,5465,797.0,32.5,259
10530,11180.0,65.1,7278,711.0,49.2,350
10532,3787.0,53.6,2030,508.0,52.8,268
10533,4840.0,85.4,4133,327.0,7.6,25
10535,275.0,61.5,169,0.0,,
10536,7305.0,74.8,5464,856.0,37.7,323
10537,1700.0,51.0,867,341.0,9.7,33
10538,12221.0,82.0,10021,927.0,29.7,275
10540,11.0,0.0,0,13.0,0.0,0
10541,18084.0,43.3,7830,2482.0,37.4,928
10542,0.0,,,0.0,,
10543,14495.0,56.6,8204,1656.0,27.1,449
10545,178.0,60.1,107,4.0,0.0,0
10546,815.0,88.6,722,155.0,89.7,139
10547,5322.0,52.4,2789,538.0,25.5,137
10548,2687.0,43.4,1166,829.0,13.8,114
10549,10894.0,60.2,6558,1171.0,18.3,214
10550,28940.0,23.3,6743,2504.0,15.6,391
10552,16544.0,51.5,8520,1732.0,13.2,229
10553,7833.0,42.9,3360,852.0,16.7,142
10560,3569.0,64.9,2316,236.0,27.1,64
10562,24733.0,45.5,11254,2444.0,19.0,464
10566,18974.0,37.9,7191,2308.0,19.3,445
10567,13911.0,51.4,7150,1907.0,11.8,225
10570,8419.0,73.1,6154,1798.0,23.2,417
10573,28881.0,43.9,12679,3594.0,20.1,722
10576,3563.0,77.4,2758,555.0,35.3,196
10577,1932.0,81.8,1580,3360.0,9.4,316
10578,1178.0,72.6,855,120.0,68.3,82
10579,6201.0,47.4,2939,826.0,30.9,255
10580,11450.0,80.9,9263,1316.0,33.8,445
10583,27202.0,80.8,21979,2241.0,32.4,726
10588,2021.0,51.9,1049,333.0,49.2,164
10589,5975.0,65.8,3932,227.0,59.9,136
10590,5212.0,69.2,3607,450.0,36.7,165
10591,17568.0,53.5,9399,1582.0,26.7,422
10594,3851.0,47.8,1841,389.0,16.5,64
10595,5124.0,46.7,2393,957.0,53.9,516
10596,594.0,42.1,250,0.0,,
10597,397.0,69.8,277,50.0,52.0,26
10598,20389.0,57.6,11744,2478.0,30.1,746
10601,8558.0,55.8,4775,842.0,29.5,248
10603,13914.0,47.1,6553,1463.0,37.9,554
10604,8137.0,51.3,4174,762.0,39.4,300
10605,14752.0,65.8,9707,1286.0,41.3,531
10606,12159.0,45.2,5496,1329.0,20.5,272
10607,4517.0,53.4,2412,488.0,25.6,125
10701,47301.0,29.5,13954,6264.0,11.3,708
10703,15519.0,26.2,4066,2232.0,9.8,219
10704,22750.0,36.7,8349,2794.0,14.2,397
10705,26969.0,30.1,8118,3903.0,9.8,382
10706,6516.0,73.0,4757,667.0,45.9,306
10707,7392.0,62.1,4590,774.0,30.0,232
10708,15339.0,64.8,9940,2715.0,12.9,350
10709,6726.0,67.6,4547,865.0,42.3,366
10710,18753.0,43.7,8195,1948.0,30.4,592
10801,28207.0,43.2,12185,5815.0,22.0,1279
10803,8268.0,73.5,6077,833.0,35.4,295
10804,10269.0,79.9,8205,950.0,34.5,328
10805,15916.0,35.0,5571,2017.0,37.7,760
10901,16649.0,47.5,7908,2333.0,17.6,411
10910,0.0,,,0.0,,
10911,18.0,55.6,10,0.0,,
10913,3514.0,49.0,1722,826.0,20.5,169
10914,328.0,54.3,178,113.0,34.5,39
10915,0.0,,,0.0,,
10916,3088.0,44.9,1387,422.0,36.5,154
10917,1005.0,45.7,459,174.0,0.0,0
10918,8324.0,41.1,3421,1004.0,18.5,186
10919,1091.0,44.3,483,49.0,16.3,8
10920,5773.0,52.3,3019,782.0,31.6,247
10921,3115.0,30.9,963,355.0,4.5,16
10922,817.0,28.5,233,100.0,100.0,100
10923,5982.0,36.2,2165,517.0,19.9,103
10924,9654.0,41.6,4016,1210.0,23.7,287
10925,3462.0,34.8,1205,302.0,6.3,19
10926,2632.0,43.5,1145,174.0,41.4,72
10927,8277.0,24.3,2011,1130.0,7.5,85
10928,3778.0,32.8,1239,361.0,14.1,51
10930,6632.0,48.1,3190,1268.0,21.5,273
10931,695.0,27.9,194,88.0,14.8,13
10932,14.0,0.0,0,0.0,,
10933,140.0,28.6,40,13.0,0.0,0
10940,35655.0,24.0,8557,4797.0,12.3,590
10941,9953.0,30.9,3075,2008.0,14.2,285
10950,28244.0,25.8,7287,8032.0,7.8,626
10952,20060.0,26.4,5296,5475.0,6.4,350
10953,0.0,,,0.0,,
10954,19560.0,46.7,9135,2193.0,32.6,715
10956,21647.0,58.2,12599,2319.0,39.4,914
10958,1931.0,26.8,518,219.0,19.6,43
10960,11288.0,62.6,7066,1429.0,18.5,264
10962,3812.0,55.7,2123,300.0,32.3,97
10963,3152.0,16.9,533,181.0,32.0,58
10964,1072.0,59.3,636,98.0,44.9,44
10965,10511.0,47.4,4982,1224.0,43.4,531
10968,1904.0,65.5,1247,153.0,44.4,68
10969,860.0,28.0,241,41.0,0.0,0
10970,7866.0,44.5,3500,844.0,18.4,155
10973,1503.0,43.4,652,242.0,0.0,0
10974,2235.0,42.7,954,350.0,26.9,94
10975,176.0,6.3,11,0.0,,
10976,1207.0,53.6,647,605.0,6.9,42
10977,35570.0,23.1,8217,6621.0,7.6,503
10979,84.0,0.0,0,0.0,,
10980,9694.0,36.7,3558,1171.0,38.0,445
10983,4046.0,61.9,2504,503.0,47.7,240
10984,1958.0,37.9,742,164.0,25.0,41
10985,12.0,50.0,6,0.0,,
10986,1029.0,43.2,445,205.0,22.9,47
10987,3120.0,48.8,1523,285.0,20.0,57
10988,383.0,44.4,170,79.0,0.0,0
10989,6548.0,57.8,3785,491.0,37.7,185
10990,14925.0,49.7,7418,1495.0,35.6,532
10992,6555.0,30.0,1966,1035.0,20.2,209
10993,3203.0,23.6,756,469.0,2.8,13
10994,4476.0,58.8,2632,319.0,10.3,33
10996,2069.0,78.7,1628,2742.0,3.2,88
10998,2400.0,40.8,979,350.0,13.7,48
11001,18123.0,53.4,9678,2146.0,22.4,481
11003,31823.0,32.9,10470,3999.0,15.7,628
11004,11393.0,44.0,5013,612.0,36.4,223
11005,2168.0,71.4,1548,12.0,0.0,0
11010,18050.0,39.7,7166,2497.0,26.9,672
11020,3968.0,62.9,2496,787.0,31.3,246
11021,14632.0,64.8,9482,1076.0,32.0,344
11023,5967.0,67.7,4040,716.0,30.6,219
11024,4795.0,52.1,2498,1216.0,5.5,67
11030,12100.0,83.6,10116,1073.0,29.3,314
11040,30332.0,56.1,17016,3564.0,34.9,1244
11042,232.0,2.6,6,0.0,,
11050,22452.0,66.6,14953,2043.0,33.9,693
11096,6303.0,27.7,1746,803.0,5.9,47
11101,30609.0,65.4,20018,2710.0,50.6,1371
11102,22497.0,58.2,13093,1769.0,37.0,655
11103,28416.0,52.4,14890,2249.0,40.3,906
11104,20901.0,51.3,10722,1237.0,30.0,371
11105,29964.0,54.6,16360,2553.0,26.8,684
11106,31294.0,52.3,16367,3117.0,33.4,1041
11109,5859.0,87.2,5109,121.0,100.0,121
11201,52350.0,79.2,41461,5557.0,41.6,2312
11203,57766.0,25.9,14961,4812.0,11.8,568
