zip_code,Median_Household_Income
,
06390,17.0
10001,15097.0
10002,35771.0
10003,25080.0
10004,1775.0
10005,5156.0
10006,2305.0
10007,3309.0
10009,30025.0
10010,16192.0
10011,28277.0
10012,11909.0
10013,12609.0
10014,17682.0
10016,30164.0
10017,9529.0
10018,4901.0
10019,26900.0
10020,0.0
10021,20319.0
10022,18627.0
10023,36881.0
10024,29447.0
10025,41029.0
10026,15537.0
10027,24509.0
10028,24901.0
10029,33098.0
10030,13180.0
10031,21991.0
10032,21359.0
10033,19747.0
10034,15462.0
10035,15056.0
10036,18886.0
10037,10205.0
10038,10694.0
10039,12427.0
10040,16260.0
10044,5146.0
10065,16706.0
10069,3202.0
10075,12536.0
10103,0.0
10110,0.0
10111,0.0
10112,0.0
10115,0.0
10119,0.0
10128,30154.0
10152,0.0
10153,0.0
10154,0.0
10162,883.0
10165,0.0
10167,0.0
10168,0.0
10169,0.0
10170,0.0
10171,0.0
10172,0.0
10173,0.0
10174,0.0
10177,0.0
10199,0.0
10271,0.0
10278,0.0
10279,62.0
10280,4222.0
10282,2584.0
10301,14430.0
10302,6159.0
10303,8742.0
10304,15900.0
10305,15637.0
10306,19846.0
10307,5135.0
10308,10323.0
10309,12108.0
10310,8982.0
10311,0.0
10312,21366.0
10314,31419.0
10451,21414.0
10452,28397.0
10453,28462.0
10454,14910.0
10455,16366.0
10456,32601.0
10457,26715.0
10458,28856.0
10459,17919.0
10460,22734.0
10461,19078.0
10462,29538.0
10463,29575.0
10464,2081.0
10465,16221.0
10466,25262.0
10467,38210.0
10468,28608.0
10469,23582.0
10470,6625.0
10471,9205.0
10472,21950.0
10473,22734.0
10474,3917.0
10475,18692.0
10501,469.0
10502,1879.0
10503,63.0
10504,2540.0
10505,495.0
10506,2225.0
10507,1805.0
10509,7326.0
10510,3734.0
10511,817.0
10512,9170.0
10514,4076.0
10516,2289.0
10517,165.0
10518,374.0
10519,107.0
10520,4989.0
10522,3853.0
10523,3320.0
10524,1613.0
10526,722.0
10527,191.0
10528,4959.0
10530,6493.0
10532,1822.0
10533,2587.0
10535,196.0
10536,3434.0
10537,811.0
10538,6715.0
10540,0.0
10541,8950.0
10542,0.0
10543,7566.0
10545,0.0
10546,456.0
10547,2787.0
10548,1228.0
10549,5807.0
10550,15837.0
10552,9442.0
10553,3693.0
10560,1642.0
10562,12230.0
10566,10806.0
10567,6587.0
10570,4285.0
10573,13951.0
10576,1814.0
10577,729.0
10578,568.0
10579,3011.0
10580,6178.0
10583,14050.0
10588,1108.0
10589,3536.0
10590,2628.0
10591,10094.0
10594,1792.0
10595,2360.0
10596,389.0
10597,194.0
10598,10299.0
10601,5313.0
10603,7277.0
10604,4273.0
10605,7933.0
10606,6420.0
10607,2224.0
10701,27163.0
10703,7553.0
10704,12032.0
10705,14995.0
10706,3357.0
10707,3957.0
10708,9425.0
10709,3690.0
10710,9979.0
10801,16030.0
10803,4239.0
10804,5267.0
10805,8530.0
10901,9273.0
10910,0.0
10911,8.0
10913,1518.0
10914,156.0
10915,0.0
10916,1468.0
10917,480.0
10918,4185.0
10919,539.0
10920,2869.0
10921,1564.0
10922,543.0
10923,2866.0
10924,4671.0
10925,1755.0
10926,1409.0
10927,3910.0
10928,2277.0
10930,3423.0
10931,383.0
10932,7.0
10933,99.0
10940,18680.0
10941,5428.0
10950,16009.0
10952,11031.0
10953,0.0
10954,9590.0
10956,9592.0
10958,816.0
10960,6212.0
10962,1646.0
10963,1178.0
10964,514.0
10965,5605.0
10968,1122.0
10969,425.0
10970,3959.0
10973,755.0
10974,1228.0
10975,125.0
10976,603.0
10977,16360.0
10979,43.0
10980,4816.0
10983,1899.0
10984,916.0
10985,6.0
10986,592.0
10987,1446.0
10988,222.0
10989,3179.0
10990,7774.0
10992,3303.0
10993,1462.0
10994,2131.0
10996,1118.0
10998,1203.0
11001,8508.0
11003,12068.0
11004,5093.0
11005,1535.0
11010,8380.0
11020,1770.0
11021,8116.0
11023,3117.0
11024,2166.0
11030,6035.0
11040,13884.0
11042,0.0
11050,11656.0
11096,2553.0
11101,19049.0
11102,13176.0
11103,16211.0
11104,12234.0
11105,16068.0
11106,18970.0
11109,3638.0
11201,33141.0
11203,30149.0
11204,25306.0
11205,17272.0
11206,33696.0
11207,35309.0
11208,34486.0
11209,30376.0
11210,21440.0
11211,27497.0
11212,32588.0
11213,27060.0
11214,31006.0
11215,29747.0
11216,26664.0
11217,19543.0
11218,26053.0
11219,24476.0
11220,28336.0
11221,36032.0
11222,20277.0
11223,26433.0
11224,19991.0
11225,24747.0
11226,39305.0
