DBA Name,License Number,County,Zip Code,Square Footage
EDIBLE ARRANGEMENTS,48,20,48,1425.3658536585365
KEY FOOD,45,7,41,12451.351351351352
C TOWN,40,7,37,11378.378378378378
MOBIL MART,33,12,28,1537.7575757575758
IDEAL FOOD BASKET,26,6,21,14700.0
FINE FARE SUPERMARKET,26,6,23,11395.833333333334
BP,22,7,20,1095.2380952380952
SUNOCO,21,16,21,1444.7619047619048
FINE FARE,20,5,17,13000.0
FOODTOWN,20,7,20,12805.882352941177
CLIFFS LOCAL MARKET,19,5,15,3575.222222222222
FOOD UNIVERSE,19,3,15,10111.111111111111
FOOD BAZAAR,19,5,16,40823.529411764706
WHOLE FOODS MARKET,19,8,19,61647.05882352941
C TOWN SUPERMARKET,18,6,18,9500.0
BRAVO SUPERMARKET,18,5,17,9629.411764705883
CONSUMERS BEVERAGES,17,2,15,10464.70588235294
BP SHOP,16,7,16,1123.3333333333333
H MART,15,4,12,18021.428571428572
CORNER MARKET,15,5,12,1633.3333333333333
HEALTHY MEALS DIRECT,15,2,15,1662.5
SHOP FAIR,14,5,13,9461.538461538461
SHELL FOOD MART,13,4,13,1200.0
CITY FRESH MARKET,12,4,10,11136.363636363636
FOOD UNIVERSE MARKETPLACE,12,4,12,9000.0
95 NUTRITION,12,4,11,2288.8888888888887
SUSHILOVER @ SHOPRITE,12,4,11,262.85714285714283
SAVE A LOT,12,8,12,15181.818181818182
BAKED BY MELISSA,11,2,11,805.5555555555555
CITGO,11,8,11,1055.5555555555557
NUTS FACTORY,11,6,11,1082.142857142857
ASSOCIATED,11,4,10,9580.5
KEY FOOD SUPERMARKET,11,4,10,17000.0
FOOD MART,10,6,8,1450.0
FRESH & TASTY SUSHI,10,5,9,97.14285714285714
SHELL,10,5,9,1533.3333333333333
MINI MART,10,4,9,1287.5
VALERO FOOD MART,9,2,9,1287.5
FOOD EMPORIUM,9,4,9,15571.42857142857
SUSHI 88,9,4,8,145.83333333333334
SUNOCO A PLUS,9,6,9,1888.888888888889
SHOP FAIR SUPERMARKET,9,4,8,6366.666666666667
C-TOWN SUPERMARKET,9,5,9,10144.444444444445
MOBIL,9,7,9,1200.0
FEDERAL MEATS,9,2,8,2700.0
QUICKLEES,8,4,8,2850.0
RESTAURANT DEPOT,8,7,8,65260.0
CITGO MART,8,7,8,1668.75
BIMBO BAKERIES USA,8,8,8,17281.25
