store_name,square_footage,operation_type,georeference,Zip_Code_Clean
SKILLMART,,Store,POINT (-73.955486796 40.690346184),11205
BENJAMINS PHARMACY & SURGICAL,,Store,POINT (-73.858823252 40.865713996),10469
BALDE FAMILY GENERAL MERCHANDISING,,Store,POINT (-73.864832322 40.871259212),10467
ESTRELLA MEATS FRUITS & GROCERY 2,,Store,POINT (-73.872836453 40.878631389),10467
HUA-TE NY,,Store,POINT (-73.828313124 40.754958503),11355
ALEX CANDY STORE,,Store,POINT (-73.924682128 40.841954234),10452
LUXURY GREENS,,Store,POINT (-73.948736514 40.797872758),10026
HUDSON NEWS STORE #210,,Store,POINT (-73.9926754 40.7482307),10001
HUDSON NEWS STORE #211,,Store,POINT (-73.9926754 40.7482307),10001
HUDSON NEWS STORE #212,,Store,POINT (-73.9926754 40.7482307),10001
APNA BAZAR FARMERS MARKET,2000.0,Store,POINT (-73.819525202 40.687909397),11419
SINGHS FISH & MEAT,1000.0,Store,POINT (-73.815231069 40.682090093),11420
SANAA DISCOUNT,,Store,POINT (-73.863157031 40.845684139),10462
QUISQUEYA PHARMACY,,Store,POINT (-73.935993171 40.84400428),10033
FRAICHE,,Store,POINT (-74.004957962 40.726273032),10013
USA SUPER STORE,,Store,POINT (-73.980010652 40.739433752),10010
NEW STAR GROCERY STORE,1000.0,Store,POINT (-73.956058358 40.598436059),11229
ADAM DELI GROCERY II,1000.0,Store,POINT (-73.958722546 40.651107855),11226
LI-LAC CHOCOLATES,,Store,POINT (-73.9774131 40.752368369),10017
LOCAVORE VARIETY STORE,,Store,POINT (-73.998789293 40.734579508),10011
AI MART,,Store,POINT (-73.835518041 40.787378867),11356
YING FU MARKET,,Store,POINT (-73.827736114 40.754566105),11355
WONDER 7TH GROCERY,,Store,POINT (-74.007115212 40.641489076),11220
ALDI #147,,Store,POINT (-74.168832383 40.559651233),10312
JOSE MINI MARKET,,Store,POINT (-73.903659812 40.81244499),10455
PAPA JOES DELI,1200.0,Store,POINT (-74.146961064 40.63137237),10303
NEW NAN FONG HONG TRADING,12000.0,Store,POINT (-74.067118379 40.617185473),10305
ERIC CONVENIENCE STORE,,Store,POINT (-73.862480611 40.747044562),11368
YOLANDA GROCERY STORE,,Store,POINT (-73.882777474 40.6737172),11208
ZEENA BAKERY,50.0,Store,POINT (-73.959124626 40.680199303),11238
513 DELI & GRILL,1200.0,Store,POINT (-73.988090555 40.666816756),11215
A1 HEALTH PHARMACY,,Store,POINT (-73.929434332 40.833118284),10452
G MART NY,,Store,POINT (-73.890044752 40.74624057),11373
CASITA MARIA DELI,,Store,POINT (-73.892223543 40.82082354),10459
NEW ARIA,,Store,POINT (-73.852272711 40.710797608),11375
YUMMILICIOUS DELI #3,2200.0,Store,POINT (-73.945715927 40.799588031),10029
ATJ ENTERPRISE,1300.0,Store,POINT (-74.067660297 40.617130511),10305
CLOUD MUNCHIES,500.0,Store,POINT (-73.736468923 40.769202668),11362
80 BRONX FINEST MARKET,1750.0,Store,POINT (-73.884575895 40.846262155),10460
