zip_code,subway_count
00083,1
10001,7
10002,5
10003,7
10004,3
10005,2
10006,3
10007,8
10009,1
10010,2
10011,9
10012,4
10013,8
10014,3
10016,2
10017,3
10018,3
10019,6
10021,2
10022,4
10023,5
10024,4
10025,6
10026,4
10027,3
10028,2
10029,4
10030,2
10031,4
10032,5
10033,3
10034,3
10035,1
10036,5
10038,3
10039,2
10040,4
10044,1
10048,1
10065,3
10128,1
10301,2
10304,4
10305,1
10306,5
10307,2
10308,1
10309,3
10312,3
10451,3
10452,6
10453,2
10454,4
10455,4
10456,1
10457,3
10458,2
10459,6
10460,3
10461,4
10462,5
10463,4
10466,4
10467,7
10468,6
10469,3
10470,1
10472,4
11101,12
11102,2
11103,2
11104,2
11105,1
11106,2
11201,12
11204,4
11205,3
11206,9
11207,15
11208,7
11209,3
11210,1
11211,6
11212,4
11213,3
11214,5
11215,7
11216,3
11217,8
11218,3
11219,7
11220,5
11221,4
11222,2
11223,8
11224,4
11225,6
11226,7
11228,1
11229,3
11230,6
11231,1
11232,2
11233,4
11235,2
11236,2
11237,4
11238,7
11354,1
11368,3
11372,4
11373,4
11374,1
11375,3
11377,5
11379,1
11385,6
11414,1
11415,2
11417,3
11418,4
11419,2
11420,2
11421,3
11432,3
11433,1
11435,2
11691,4
11692,2
11693,2
11694,3
